B_Nmm2,M_Nmm,lab
8910000000000,3780000.0000000005,s11
8860000000000.002,37000000,s11
8789999999999.999,72000000,s11
8729999999999.999,105000000,s11
8650000000000,136000000,s11
8570000000000,165000000,s11
8490000000000,191000000,s11
8390000000000.001,216000000,s11
8289999999999.999,238000000,s11
8180000000000,256999999.99999997,s11
8060000000000.001,273000000,s11
15700000000000,5100000,s12
15600000000000,49800000.00000001,s12
15500000000000,96900000,s12
15300000000000,141000000,s12
15100000000000,183000000,s12
15000000000000,221000000,s12
14800000000000,256000000,s12
14600000000000,288000000,s12
14400000000000,316000000,s12
14100000000000,340999999.99999994,s12
13900000000000.002,362000000,s12
37200000000000,7810000,s13
36800000000000,76100000,s13
36200000000000,150000000,s13
35700000000000,222000000.00000003,s13
35200000000000,292000000,s13
34400000000000,332000000,s13
33800000000000,384000000,s13
33000000000000,429000000,s13
32300000000000,468999999.99999994,s13
31400000000000,503000000,s13
30500000000000,530000000,s13
11100000000000.002,4159999.999999999,s2
11000000000000,40599999.99999999,s2
10900000000000,79100000,s2
10800000000000,115000000.00000001,s2
10700000000000,149000000,s2
10600000000000,181000000,s2
10500000000000,209000000,s2
10300000000000,236000000,s2
10200000000000,259000000,s2
10000000000000,280000000,s2
9870000000000.002,297000000,s2
12300000000000,4400000,s31
12200000000000,43000000,s31
12100000000000,83700000.00000001,s31
12000000000000,122000000,s31
11900000000000.002,158000000,s31
11700000000000.002,191000000,s31
11600000000000.002,221000000,s31
11400000000000.002,248999999.99999997,s31
11300000000000.002,274000000,s31
11100000000000.002,295000000,s31
10900000000000,314000000,s31
18600000000000,5490000,s32
18500000000000,53599999.99999999,s32
18300000000000,104000000,s32
18100000000000,152000000,s32
17900000000000,196000000,s32
17600000000000,236999999.99999997,s32
17400000000000,274000000,s32
17100000000000,308000000,s32
16800000000000.002,338000000,s32
16500000000000.002,364000000,s32
16100000000000.002,386000000,s32
39100000000000,7960000,s33
38600000000000,77500000,s33
38000000000000,150000000,s33
37400000000000,218000000.00000003,s33
36700000000000,280999999.99999994,s33
36100000000000,338000000,s33
35300000000000,390000000,s33
34499999999999.996,435999999.99999994,s33
33699999999999.996,476000000,s33
32800000000000.004,509999999.99999994,s33
31800000000000,537000000,s33
