Preexisting_strain_ratio;Hogging;FRP_thickness_mm;ratio_of_strain;B_Nmm2;M_Nmm;kappa_mm_1
0;TRUE;0.3;0.000000001;-12319653192496.100;-0.4258269597;0.0000000000
0;TRUE;0.3;0.1;-12210335707023.200;-42204841.7232197000;0.0000034565
0;TRUE;0.3;0.2;-12101018220457.100;-83653974.9501615000;0.0000069130
0;TRUE;0.3;0.3;-11991700733891.100;-124347399.6808250000;0.0000103695
0;TRUE;0.3;0.4;-11882383247325.000;-164285115.9152120000;0.0000138259
0;TRUE;0.3;0.5;-11773065760758.900;-203467123.6533200000;0.0000172824
0;TRUE;0.3;0.6;-11663748274192.900;-241893422.8951500000;0.0000207389
0;TRUE;0.3;0.7;-11554430787626.800;-279564013.6407030000;0.0000241954
0;TRUE;0.3;0.8;-11445113301060.700;-316478895.8899770000;0.0000276519
0;TRUE;0.3;0.9;-11335795814494.700;-352638069.6429740000;0.0000311084
0;TRUE;0.3;1;-11226478327928.600;-388041534.8996930000;0.0000345648
0;TRUE;2;0.000000001;-18935799011919.000;-0.6545130448;0.0000000000
0;TRUE;2;0.1;-18826481526446.100;-65073450.2386985000;0.0000034565
0;TRUE;2;0.2;-18717164039880.100;-129391191.9811190000;0.0000069130
0;TRUE;2;0.3;-18607846553314.000;-192953225.2272620000;0.0000103695
0;TRUE;2;0.4;-18498529066747.900;-255759549.9771270000;0.0000138259
0;TRUE;2;0.5;-18389211580181.900;-317810166.2307140000;0.0000172824
0;TRUE;2;0.6;-18279894093615.800;-379105073.9880230000;0.0000207389
0;TRUE;2;0.7;-18170576607049.700;-439644273.2490540000;0.0000241954
0;TRUE;2;0.8;-18061259120483.600;-499427764.0138080000;0.0000276519
0;TRUE;2;0.9;-17951941633917.600;-558455546.2822830000;0.0000311084
0;TRUE;2;1;-17842624147351.500;-616727620.0544810000;0.0000345648
0;TRUE;9;0.000000001;-46178752386013.400;-1.5961616308;0.0000000000
0;TRUE;9;0.1;-46069434900540.500;-159238308.8318460000;0.0000034565
0;TRUE;9;0.2;-45960117413974.400;-317720909.1674150000;0.0000069130
0;TRUE;9;0.3;-45850799927408.400;-475447801.0067060000;0.0000103695
0;TRUE;9;0.4;-45741482440842.300;-632418984.3497190000;0.0000138259
0;TRUE;9;0.5;-45632164954276.200;-788634459.1964530000;0.0000172824
0;TRUE;9;0.6;-45522847467710.100;-944094225.5469100000;0.0000207389
0;TRUE;9;0.7;-45413529981144.100;-1098798283.4010900000;0.0000241954
0;TRUE;9;0.8;-45304212494578.000;-1252746632.7589900000;0.0000276519
0;TRUE;9;0.9;-45194895008011.900;-1405939273.6206100000;0.0000311084
0;TRUE;9;1;-45085577521445.900;-1558376205.9859600000;0.0000345648
0.25;TRUE;0.3;0.000000001;5852950734963270000000.000;202306361.8478920000;0.0000000000
