pre_str_ratio,hogging,frp_mm,ratio_str,B_Nmm2,M_Nmm,kappa_mm_1,B_pstv,M_pstv
0,FALSE,0.3,0.01,-8.91E+12,-3.78E+06,4.24E-07,8.91E+12,3.78E+06
0,FALSE,0.3,0.1,-8.86E+12,-3.70E+07,4.17E-06,8.86E+12,3.70E+07
0,FALSE,0.3,0.2,-8.79E+12,-7.20E+07,8.19E-06,8.79E+12,7.20E+07
0,FALSE,0.3,0.3,-8.73E+12,-1.05E+08,1.20E-05,8.73E+12,1.05E+08
0,FALSE,0.3,0.4,-8.65E+12,-1.36E+08,1.57E-05,8.65E+12,1.36E+08
0,FALSE,0.3,0.5,-8.57E+12,-1.65E+08,1.92E-05,8.57E+12,1.65E+08
0,FALSE,0.3,0.6,-8.49E+12,-1.91E+08,2.26E-05,8.49E+12,1.91E+08
0,FALSE,0.3,0.7,-8.39E+12,-2.16E+08,2.57E-05,8.39E+12,2.16E+08
0,FALSE,0.3,0.8,-8.29E+12,-2.38E+08,2.86E-05,8.29E+12,2.38E+08
0,FALSE,0.3,0.9,-8.18E+12,-2.57E+08,3.14E-05,8.18E+12,2.57E+08
0,FALSE,0.3,1,-8.06E+12,-2.73E+08,3.39E-05,8.06E+12,2.73E+08
0,FALSE,2,0.01,-1.57E+13,-5.10E+06,3.24E-07,1.57E+13,5.10E+06
0,FALSE,2,0.1,-1.56E+13,-4.98E+07,3.19E-06,1.56E+13,4.98E+07
0,FALSE,2,0.2,-1.55E+13,-9.69E+07,6.27E-06,1.55E+13,9.69E+07
0,FALSE,2,0.3,-1.53E+13,-1.41E+08,9.23E-06,1.53E+13,1.41E+08
0,FALSE,2,0.4,-1.51E+13,-1.83E+08,1.21E-05,1.51E+13,1.83E+08
0,FALSE,2,0.5,-1.50E+13,-2.21E+08,1.48E-05,1.50E+13,2.21E+08
0,FALSE,2,0.6,-1.48E+13,-2.56E+08,1.73E-05,1.48E+13,2.56E+08
0,FALSE,2,0.7,-1.46E+13,-2.88E+08,1.98E-05,1.46E+13,2.88E+08
0,FALSE,2,0.8,-1.44E+13,-3.16E+08,2.20E-05,1.44E+13,3.16E+08
0,FALSE,2,0.9,-1.41E+13,-3.41E+08,2.42E-05,1.41E+13,3.41E+08
0,FALSE,2,1,-1.39E+13,-3.62E+08,2.61E-05,1.39E+13,3.62E+08
0,FALSE,9,0.01,-3.72E+13,-7.81E+06,2.10E-07,3.72E+13,7.81E+06
0,FALSE,9,0.1,-3.68E+13,-7.61E+07,2.07E-06,3.68E+13,7.61E+07
0,FALSE,9,0.2,-3.62E+13,-1.50E+08,4.14E-06,3.62E+13,1.50E+08
0,FALSE,9,0.3,-3.57E+13,-2.22E+08,6.21E-06,3.57E+13,2.22E+08
0,FALSE,9,0.4,-3.52E+13,-2.92E+08,8.28E-06,3.52E+13,2.92E+08
0,FALSE,9,0.5,-3.44E+13,-3.32E+08,9.65E-06,3.44E+13,3.32E+08
0,FALSE,9,0.6,-3.38E+13,-3.84E+08,1.14E-05,3.38E+13,3.84E+08
0,FALSE,9,0.7,-3.30E+13,-4.29E+08,1.30E-05,3.30E+13,4.29E+08
0,FALSE,9,0.8,-3.23E+13,-4.69E+08,1.45E-05,3.23E+13,4.69E+08
0,FALSE,9,0.9,-3.14E+13,-5.03E+08,1.60E-05,3.14E+13,5.03E+08
0,FALSE,9,1,-3.05E+13,-5.30E+08,1.74E-05,3.05E+13,5.30E+08
0.25,FALSE,0.3,0.01,-1.09E+13,-6.99E+07,6.42E-06,1.09E+13,6.99E+07
0.25,FALSE,0.3,0.1,-1.01E+13,-1.00E+08,9.92E-06,1.01E+13,1.00E+08
