Mx,My,N
1.23E-11,12.33649,20
1.275578,12.31263,20
2.550745,12.27684,20
3.832581,12.24104,20
5.123384,12.19332,20
6.433269,12.1456,20
7.770437,12.09787,20
9.125768,12.02629,20
10.51111,11.94277,20
11.93084,11.84527,20
13.36254,11.70818,20
14.84197,11.56149,20
16.32139,11.36412,20
17.80082,11.12014,20
19.25638,10.81874,20
20.59263,10.41721,20
21.76186,9.912268,20
22.62088,9.266555,20
22.95494,8.436783,20
23.19356,7.619463,20
23.40831,6.836741,20
23.59921,6.082792,20
23.76624,5.352827,20
23.90941,4.642863,20
24.05258,3.95346,20
24.14803,3.273209,20
24.24347,2.606808,20
24.31506,1.948173,20
24.38664,1.296617,20
24.43437,0.647793,20
24.43437,-3.40E-19,20
24.43437,-0.64779,20
24.38664,-1.29662,20
24.31506,-1.94817,20
24.24347,-2.60681,20
24.14803,-3.27321,20
24.05258,-3.95346,20
23.90941,-4.64286,20
23.76624,-5.35283,20
23.59921,-6.08279,20
23.40831,-6.83674,20
23.19356,-7.61946,20
22.95494,-8.43678,20
22.62088,-9.26656,20
21.76186,-9.91227,20
20.59263,-10.4172,20
19.25638,-10.8187,20
17.80082,-11.1201,20
16.32139,-11.3641,20
14.84197,-11.5615,20
13.36254,-11.7082,20
11.93084,-11.8453,20
10.51111,-11.9428,20
9.125768,-12.0263,20
7.770437,-12.0979,20
6.433269,-12.1456,20
5.123384,-12.1933,20
3.832581,-12.241,20
2.550745,-12.2768,20
1.275578,-12.3126,20
1.23E-11,-12.3365,20
-1.20E-11,-12.3365,20
-1.27558,-12.3126,20
-2.55075,-12.2768,20
-3.83258,-12.241,20
-5.12338,-12.1933,20
-6.43327,-12.1456,20
-7.77044,-12.0979,20
-9.12577,-12.0263,20
-10.5111,-11.9428,20
-11.9308,-11.8453,20
-13.3625,-11.7082,20
-14.842,-11.5615,20
-16.3214,-11.3641,20
-17.8008,-11.1201,20
-19.2564,-10.8187,20
-20.5926,-10.4172,20
-21.7619,-9.91227,20
-22.6209,-9.26656,20
-22.9549,-8.43678,20
-23.1936,-7.61946,20
-23.4083,-6.83674,20
-23.5992,-6.08279,20
-23.7662,-5.35283,20
-23.9094,-4.64286,20
-24.0526,-3.95346,20
-24.148,-3.27321,20
-24.2435,-2.60681,20
-24.3151,-1.94817,20
-24.3866,-1.29662,20
-24.4344,-0.64779,20
-24.4344,3.35E-19,20
-24.4344,0.647793,20
-24.3866,1.296617,20
-24.3151,1.948173,20
-24.2435,2.606808,20
-24.148,3.273209,20
-24.0526,3.95346,20
-23.9094,4.642863,20
